iter	Passed	Remaining
0	1	129
1	2	126
2	3	116
3	4	106
4	5	106
5	6	106
6	8	111
7	9	109
8	10	107
9	12	110
10	13	110
11	15	112
12	19	130
13	20	125
14	21	123
15	22	119
16	23	115
17	24	113
18	26	113
19	28	114
20	32	123
21	33	120
22	35	117
23	36	114
24	37	113
25	39	111
26	40	108
27	41	106
28	42	105
29	44	104
30	45	102
31	47	101
32	49	99
33	50	97
34	51	96
35	52	94
36	54	92
37	55	90
38	56	88
39	57	86
40	58	84
41	59	81
42	60	80
43	62	79
44	63	77
45	65	77
46	66	75
47	67	73
48	69	71
49	70	70
50	71	68
51	72	66
52	73	65
53	74	63
54	75	61
55	76	60
56	77	58
57	78	56
58	79	55
59	80	53
60	82	52
61	83	51
62	84	49
63	85	48
64	87	47
65	88	45
66	89	44
67	90	42
68	91	41
69	92	39
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	99	31
76	100	30
77	102	28
78	103	27
79	104	26
80	105	24
81	106	23
82	107	22
83	108	20
84	109	19
85	111	18
86	112	16
87	113	15
88	114	14
89	115	12
90	116	11
91	117	10
92	119	8
93	120	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
